Time	Node	Type	Packets	
12	Rtr9	CacheHits	0
12	Rtr9	CacheMisses	1606
12	Rtr10	CacheHits	0
12	Rtr10	CacheMisses	0
12	Rtr11	CacheHits	0
12	Rtr11	CacheMisses	0
12	BTR1	CacheHits	0
12	BTR1	CacheMisses	2938
12	BTR2	CacheHits	0
12	BTR2	CacheMisses	3696
12	BTR3	CacheHits	0
12	BTR3	CacheMisses	3524
12	BTR32	CacheHits	0
12	BTR32	CacheMisses	0
12	BTR4	CacheHits	0
12	BTR4	CacheMisses	3336
12	BTR42	CacheHits	0
12	BTR42	CacheMisses	3643
12	BTP1	CacheHits	0
12	BTP1	CacheMisses	1104
12	BTP2	CacheHits	0
12	BTP2	CacheMisses	1757
12	BTP3	CacheHits	0
12	BTP3	CacheMisses	2739
12	BTP4	CacheHits	0
12	BTP4	CacheMisses	2592
12	BTP32	CacheHits	0
12	BTP32	CacheMisses	0
12	BTP42	CacheHits	0
12	BTP42	CacheMisses	1615
12	Cons1	CacheHits	0
12	Cons1	CacheMisses	0
12	Cons2	CacheHits	0
12	Cons2	CacheMisses	376
12	Prod11	CacheHits	0
12	Prod11	CacheMisses	1
12	Prod12	CacheHits	0
12	Prod12	CacheMisses	0
12	Prod21	CacheHits	0
12	Prod21	CacheMisses	0
12	Prod22	CacheHits	0
12	Prod22	CacheMisses	12
13	Rtr1	CacheHits	255
13	Rtr1	CacheMisses	2666
13	Rtr2	CacheHits	111
13	Rtr2	CacheMisses	3322
13	Rtr3	CacheHits	50
13	Rtr3	CacheMisses	2410
13	Rtr4	CacheHits	0
13	Rtr4	CacheMisses	2071
13	Rtr5	CacheHits	9
13	Rtr5	CacheMisses	757
13	Rtr6	CacheHits	0
13	Rtr6	CacheMisses	757
13	Rtr7	CacheHits	0
13	Rtr7	CacheMisses	0
13	Rtr8	CacheHits	0
13	Rtr8	CacheMisses	0
13	Rtr9	CacheHits	0
13	Rtr9	CacheMisses	578
13	Rtr10	CacheHits	0
13	Rtr10	CacheMisses	0
13	Rtr11	CacheHits	0
13	Rtr11	CacheMisses	0
13	BTR1	CacheHits	0
13	BTR1	CacheMisses	696
13	BTR2	CacheHits	0
13	BTR2	CacheMisses	0
13	BTR3	CacheHits	0
13	BTR3	CacheMisses	0
13	BTR32	CacheHits	0
13	BTR32	CacheMisses	3682
13	BTR4	CacheHits	0
13	BTR4	CacheMisses	0
13	BTR42	CacheHits	0
13	BTR42	CacheMisses	0
13	BTP1	CacheHits
